,WAVE_2
0,8.0
1,8.0
2,7.333333333333333
3,7.666666666666667
4,8.0
5,7.333333333333333
6,8.666666666666666
7,7.666666666666667
8,7.333333333333333
9,8.333333333333334
10,8.0
11,8.333333333333334
12,8.333333333333334
13,8.333333333333334
14,7.666666666666667
15,8.333333333333334
16,8.666666666666666
17,7.333333333333333
18,7.333333333333333
19,6.666666666666667
20,8.0
21,8.333333333333334
22,7.0
23,8.333333333333334
24,8.0
25,7.0
26,7.333333333333333
27,8.0
28,8.0
29,7.666666666666667
30,8.333333333333334
31,8.0
32,7.0
33,8.333333333333334
34,7.666666666666667
35,7.0
36,8.0
37,8.0
38,8.666666666666666
39,7.666666666666667
40,7.666666666666667
41,7.0
42,8.0
43,8.333333333333334
44,7.666666666666667
45,8.666666666666666
46,8.0
47,8.333333333333334
48,8.666666666666666
49,8.333333333333334
50,6.0
51,7.666666666666667
52,8.0
53,8.333333333333334
54,7.333333333333333
55,7.0
56,7.666666666666667
57,8.333333333333334
58,8.666666666666666
59,8.0
60,8.0
61,8.333333333333334
62,7.333333333333333
63,7.666666666666667
64,8.333333333333334
65,8.666666666666666
66,7.0
67,7.666666666666667
68,7.0
69,8.666666666666666
70,7.666666666666667
71,7.666666666666667
72,8.0
73,9.0
74,7.666666666666667
75,7.0
76,7.666666666666667
77,7.666666666666667
78,7.333333333333333
79,8.666666666666666
80,8.666666666666666
81,7.333333333333333
82,8.666666666666666
83,8.333333333333334
84,8.333333333333334
85,8.333333333333334
86,8.333333333333334
87,7.0
88,8.333333333333334
89,8.333333333333334
90,8.666666666666666
91,7.333333333333333
92,7.0
93,7.666666666666667
94,7.666666666666667
95,8.0
96,8.333333333333334
97,7.666666666666667
98,7.333333333333333
99,7.666666666666667
100,8.333333333333334
101,7.666666666666667
102,7.666666666666667
103,8.666666666666666
104,7.666666666666667
105,7.333333333333333
106,7.666666666666667
107,8.666666666666666
108,7.666666666666667
109,6.0
110,7.333333333333333
111,8.0
112,7.666666666666667
113,8.666666666666666
114,7.0
115,7.333333333333333
116,8.333333333333334
117,8.0
118,8.666666666666666
119,8.0
120,7.666666666666667
121,7.333333333333333
122,8.333333333333334
123,7.333333333333333
124,6.666666666666667
125,7.666666666666667
126,7.666666666666667
127,7.666666666666667
128,7.666666666666667
129,7.666666666666667
130,8.333333333333334
131,8.333333333333334
132,6.333333333333333
133,8.0
134,8.0
135,7.333333333333333
136,7.666666666666667
137,7.333333333333333
138,8.0
139,7.666666666666667
140,7.666666666666667
141,8.0
142,8.0
143,7.333333333333333
144,8.0
145,6.666666666666667
146,7.666666666666667
147,8.0
148,7.0
149,8.333333333333334
150,8.666666666666666
151,6.0
152,7.333333333333333
153,7.333333333333333
154,8.0
155,7.333333333333333
156,8.0
157,7.0
158,8.0
159,8.333333333333334
160,8.0
161,7.666666666666667
162,7.0
163,7.0
164,8.0
165,7.666666666666667
166,6.333333333333333
167,8.666666666666666
168,8.0
169,8.0
170,7.0
171,6.666666666666667
172,8.333333333333334
173,8.0
174,8.333333333333334
175,7.666666666666667
176,7.666666666666667
177,7.0
178,7.333333333333333
179,7.0
180,8.666666666666666
181,7.666666666666667
182,7.666666666666667
183,7.0
184,8.666666666666666
185,8.333333333333334
186,8.0
187,7.666666666666667
188,7.666666666666667
189,8.333333333333334
190,8.0
191,7.0
192,7.0
193,6.666666666666667
194,6.666666666666667
195,7.666666666666667
196,6.0
197,5.0
198,5.333333333333333
199,6.0
200,6.0
201,6.0
202,6.0
203,5.333333333333333
204,5.333333333333333
205,5.333333333333333
206,6.333333333333333
207,5.333333333333333
208,6.0
209,6.333333333333333
210,6.333333333333333
211,6.666666666666667
212,7.0
213,6.333333333333333
214,5.666666666666667
215,5.666666666666667
216,5.666666666666667
217,6.333333333333333
218,6.333333333333333
219,7.0
220,5.666666666666667
221,7.666666666666667
222,5.666666666666667
223,6.666666666666667
224,5.0
225,5.333333333333333
226,7.0
227,7.0
228,6.666666666666667
229,4.666666666666667
230,7.666666666666667
231,6.666666666666667
232,7.666666666666667
233,4.666666666666667
234,7.333333333333333
235,7.333333333333333
236,6.333333333333333
237,4.666666666666667
238,6.666666666666667
239,5.666666666666667
