,VFF
0,0.7156225149725987
1,0.7364248507923896
2,0.7076937991000796
3,0.7109181699732203
4,0.7432752003968784
5,0.7417188872228272
6,0.7475460427277932
7,0.7487851299080396
8,0.7612596291188378
9,0.7243868002645741
10,0.7070346667548837
11,0.7198973272779275
12,0.7029698048363869
13,0.7216975596435676
14,0.6929521958974385
15,0.7228940717181447
16,0.6891275921194824
17,0.742504706016411
18,0.6844351250483552
19,0.739415893692918
20,0.7446632625283343
21,0.7249699498187148
22,0.7200425429089227
23,0.733958053154758
24,0.69805084470807
25,0.7162228347756024
26,0.7208768712531392
27,0.7493614614951927
28,0.7313855224845254
29,0.7163571823483321
30,0.6737337299784882
31,0.7096893050105244
32,0.7181091028698138
33,0.7189848570741698
34,0.6954711187149795
35,0.6995317089855622
36,0.6972211752378387
37,0.715159098281681
38,0.7685706994955
39,0.7762716420859562
40,0.7909994933348997
41,0.6915241653036247
42,0.7836055657802196
43,0.7754533000679238
44,0.7096458674824444
45,0.753740842151635
46,0.7517591453635719
47,0.7624464467820928
48,0.7454196980455338
49,0.6715595875362963
50,0.7220144358317353
51,0.7145830772286584
52,0.7458912272143474
53,0.7685500424545864
54,0.7583913506151877
55,0.7306242962073145
56,0.7451983265314834
57,0.7344727349232789
58,0.752989829484132
59,0.7336020558219337
60,0.7797937221742596
61,0.7193670585789912
62,0.7056376351589867
63,0.7367523566631511
64,0.7376871938828842
65,0.7302999452722299
66,0.7096827232207924
67,0.737460579583316
68,0.7626259014935501
69,0.7130804994353863
70,0.7333249749948123
71,0.707167774804803
72,0.7123162415501818
73,0.7306528069783609
74,0.7418947987028093
75,0.7630397981174288
76,0.7910923142660645
77,0.7444602288003939
78,0.7508215555638807
79,0.7554136395232569
80,0.7371916257727561
81,0.7593145974557519
82,0.7300864209259531
83,0.7250751483324672
84,0.773863099231909
85,0.7086366286223609
86,0.7359812407187442
87,0.7274548308647014
88,0.7619663249834725
89,0.7871415497836207
90,0.7350842660421097
91,0.7528638794558534
92,0.7245097563068004
93,0.7129588904643294
94,0.7056952728348141
95,0.7306735068646463
96,0.7080791485005624
97,0.7343100647747361
98,0.7101522979694702
99,0.7451121137594854
100,0.7249600849410046
101,0.74357920190765
102,0.7317392415396986
103,0.7337140958716544
104,0.726284311331161
105,0.772452981973833
106,0.7383390673995094
107,0.7453334899571074
108,0.7593829294242471
109,0.7450157369778568
110,0.7185091002571569
111,0.7536223826999219
112,0.7193256091501308
113,0.6951001102489234
114,0.7249089400470977
115,0.7218215745795817
116,0.7243464814914252
117,0.7451349357030266
118,0.739667680491331
119,0.7447215802191931
120,0.714628696049352
121,0.7433790018585437
122,0.701064163016895
123,0.7464849889939794
124,0.7473549738396481
125,0.7252328306234052
126,0.7334775270425511
127,0.7428101661250792
128,0.7659703116942939
129,0.7358634169222237
130,0.7078106862788448
131,0.7392378353501432
132,0.758985973462839
133,0.7763724785224316
134,0.721570941893606
135,0.7224780060960562
136,0.7488313264364017
137,0.7294567764775043
138,0.7756022869633795
139,0.735237378939851
140,0.7429471896402098
141,0.7592144332011763
142,0.7309605280228847
143,0.7376152321254977
144,0.7475853309444052
145,0.7494248190913536
146,0.7087259086308464
147,0.7486953778383613
148,0.7352914784192437
149,0.7582441795245847
150,0.7524227629342333
151,0.7319696222537557
152,0.7220459253347733
153,0.7466038711980992
154,0.7178590467915418
155,0.7211412187589074
156,0.7115799957915736
157,0.7032106209922515
158,0.7474795339235797
159,0.7224376042602144
160,0.7519876001437732
161,0.7283790904963701
162,0.7154249661895469
163,0.7287810797174559
164,0.7324587171428346
165,0.6587513967624928
166,0.7665690838500488
167,0.7242171388235205
168,0.6958498613054216
169,0.7552831646722111
170,0.7260213352448998
171,0.6707193645569927
172,0.7401972669295761
173,0.7331559042143792
174,0.7723159458691765
175,0.6966804012403137
176,0.7396855940637923
177,0.6500924141370263
178,0.6778648127842213
179,0.7249738979287003
180,0.7340636267746573
181,0.6989079574456685
182,0.7326357493208232
183,0.7107050004151733
184,0.705768157213292
185,0.7035019530415189
186,0.7218718233639871
187,0.7069081919915468
188,0.7006697032493068
189,0.7190596239163312
190,0.7490287659356877
191,0.6689543617170646
192,0.733437937749275
193,0.6881888282526274
194,0.6936052126763261
195,0.7329739898747399
196,0.6839713812216409
197,0.6888202167648804
198,0.6256510871702554
199,0.6743044974264794
200,0.6468517970327438
201,0.6637328558515065
